idx,OPEX,CAPEX,NPV,CF,ciclos,BCR,Ppvinst,C,PinverterBESS,n_ciclos,frac_C,min_spread,alpha,beta,gamma,n_horas_c,n_horas_d
0,2594802.257350693,1130529.5270530507,1464272.7302976423,214745.07220412348,103.16808461677762,2.2952096298754436,1897.8214701793247,502.7512637302487,174.4190103250163,1,0.6346741861440341,0.08341834302615414,4.947271660683663,0.27235064013019017,0.1932568736105426,6,6
1,4053291.3817953723,2037337.9891373003,2015953.392658072,335449.2034921793,0.46758104738154616,1.9895036579137841,3864.2440543259954,504.43395079000373,95.15295458104062,1,0.8802859100581274,0.3251293139029592,3.3630027474353206,0.6269185069474916,0.17185762120852127,4,6
2,2491982.437200776,1101383.9178686696,1390598.5193321062,206235.73410733428,0.46758104738154604,2.262591996098061,1860.6381313999912,502.837667767025,71.53508372008825,2,0.6346448272845274,1.5789625612501865,4.884393479561593,0.5624353150679413,0.4884939347483679,6,6
3,2403933.5797494818,1032978.0932106326,1370955.4865388493,198948.83654228668,193.37938533482276,2.327187377495817,1710.5969571787923,500.0625698780752,89.49877981991402,2,0.6519916918687733,0.048216658328062656,3.774066851069037,0.8899382597634196,0.20264429985219493,4,6
4,1750886.4424051729,839604.8165411018,911281.6258640711,144902.84738668753,0.0,2.0853696976373413,1285.8848855182575,504.23276583671765,119.41961656293316,1,0.6227751550292355,0.33197047312793615,3.229702339995285,0.9135440271239099,0.07751985858611464,4,3
5,4272532.548766863,2314659.9173597265,1957872.631407136,353593.5380356057,0.467581047381546,1.8458575779203157,4468.837528648804,502.20432769844206,63.19273673427885,2,0.8007751320448511,3.7184706288770184,3.232226318824236,0.37530024267652623,0.05451492292854526,5,6
6,544694.5409623102,432632.3219049405,112062.21905736969,45078.76012392971,0.0,1.2590241491064378,417.83311288770267,503.79524163245975,95.8913272744794,1,0.6079419405607758,3.2846665644681003,4.634266522332644,0.9545084619238616,0.5156639961403967,4,3
7,3210951.1614477136,1447111.0455066618,1763840.1159410519,265737.37442059396,0.46758104738154604,2.218869914245936,2608.3755834070544,500.2838349825997,55.454535644098115,1,0.7826692794793978,3.3690136776142636,4.988863011046013,0.9907277809893027,0.03150557619474373,5,6
8,2878366.0820185747,1257946.07338164,1620420.0086369347,238212.73099402862,100.95530359288264,2.2881474356693876,2172.8597263018073,500.1092734162861,173.94380309985308,1,0.6392136810161255,0.08341834302615414,4.620790613595652,0.05266905307964709,0.19571739381548026,4,6
9,1054844.1407445937,598138.3756706626,456705.7650739311,87298.59106858307,0.0,1.763545332736509,784.7709393815212,500.12087884378246,56.616242980092764,2,0.6098107151669838,2.435519046574073,3.215639873843654,0.8967399884137546,0.21699989806020684,3,3
10,3843874.358995695,1847779.5456713769,1996094.8133243183,318117.9122330892,0.467581047381546,2.080266754765408,3458.948115973517,500.7159242540715,94.91638619534467,2,0.8352087327869244,7.690427617152634,3.1641476045216113,0.49050414013778443,0.21779380018949757,5,6
